site_number,period_name,period_id
197,LBA,3.0
198,EBA 2-3,
198,MBA,2.0
199,EBA,1.0
199,MBA,2.0
199,LBA,3.0
200,N,26.0
200,EBA,1.0
200,MBA,2.0
200,LBA,3.0
201,MBA,2.0
201,LBA,3.0
202,EBA,1.0
202,MBA,2.0
202,LBA,3.0
203,N,26.0
203,Ch,9.0
203,EBA,1.0
203,MBA,2.0
203,LBA,3.0
203,R,8.0
203,Byz,14.0
204,EBA,1.0
204,MBA,2.0
204,LBA,3.0
205,EBA,1.0
205,MBA,2.0
205,LBA,3.0
206,EBA,1.0
206,MBA,2.0
206,LBA,3.0
206,IA,10.0
207,LBA,3.0
207,IA,10.0
208,EBA 2-3,
208,MBA,2.0
208,LBA,3.0
209,Ch,9.0
209,EBA,1.0
209,MBA,2.0
209,LBA,3.0
210,EBA 2-3,
210,MBA,2.0
210,LBA,3.0
211,EBA 2-3,
211,MBA,2.0
211,LBA,3.0
212,EBA,1.0
212,MBA,2.0
212,LBA,3.0
213,EBA 2-3,
213,MBA,2.0
213,LBA,3.0
213,C,6.0
214,EBA 2-3,
214,MBA,2.0
214,LBA,3.0
214,IA,10.0
215,EBA 2-3,
215,MBA,2.0
215,LBA,3.0
215,IA,10.0
216,MBA,2.0
216,LBA,3.0
216,C,6.0
217,LBA,3.0
217,IA,10.0
217,A,11.0
217,C,6.0
217,HL,7.0
217,R,8.0
218,MCh,25.0
218,LCh,16.0
218,EBA,1.0
218,MBA,2.0
218,LBA,3.0
219,LCh,16.0
219,EBA,1.0
219,MBA,2.0
219,LBA,3.0
220,EBA,1.0
220,MBA,2.0
220,LBA,3.0
220,IA,10.0
221,EBA,1.0
221,MBA,2.0
221,LBA,3.0
221,C,6.0
221,R,8.0
222,EBA,1.0
222,MBA,2.0
222,LBA,3.0
222,IA,10.0
223,LBA,3.0
224,Ch,9.0
224,EBA,1.0
224,MBA,2.0
224,LBA,3.0
224,IA,10.0
225,EBA 2-3,
225,MBA,2.0
225,LBA,3.0
225,C,6.0
226,Ch,9.0
226,EBA 2-3,
226,MBA,2.0
226,LBA,3.0
