site_number,period_name,period_id
419,IA,10.0
419,HL,7.0
419,R,8.0
419,Byz,14.0
420,EBA,1.0
420,MBA,2.0
420,LBA,3.0
420,Byz,14.0
421,EBA,1.0
421,MBA,2.0
421,LBA,3.0
421,Byz,14.0
422,LBA,3.0
422,HL,7.0
422,R,8.0
422,Byz,14.0
423,EBA,1.0
423,MBA,2.0
423,LBA,3.0
423,H,
423,R,8.0
424,MBA,2.0
424,Byz,14.0
425,LBA,3.0
426,MBA,2.0
426,LBA,3.0
427,LCh,16.0
427,EBA,1.0
427,MBA,2.0
428,LCh,16.0
428,EBA,1.0
428,MBA,2.0
428,LBA,3.0
428,R,8.0
429,EBA,1.0
429,MBA,2.0
430,LCh,16.0
430,EBA,1.0
430,MBA,2.0
431,MBA,2.0
431,IA,10.0
432,EBA,1.0
432,MBA,2.0
432,LBA,3.0
433,EBA,1.0
433,LBA,3.0
433,IA,10.0
434,LCh,16.0
434,EBA,1.0
434,MBA,2.0
434,LBA,3.0
434,R,8.0
434,Byz,14.0
435,LCh,16.0
435,EBA,1.0
435,MBA,2.0
435,LBA,3.0
435,HL,7.0
435,R,8.0
435,Byz,14.0
436,MBA,2.0
436,LBA,3.0
436,HL,7.0
436,R,8.0
436,Byz,14.0
437,LCh,16.0
437,MBA,2.0
437,LBA,3.0
437,HL,7.0
437,Byz,14.0
438,MBA,2.0
438,LBA,3.0
438,IA,10.0
438,HL,7.0
438,R,8.0
438,Byz,14.0
439,EBA,1.0
439,MBA,2.0
439,LBA,3.0
439,HL,7.0
439,R,8.0
439,Byz,14.0
440,EBA,1.0
440,MBA,2.0
440,LBA,3.0
440,HL,7.0
440,R,8.0
440,Byz,14.0
441,EBA,1.0
441,MBA,2.0
441,LBA,3.0
441,HL,7.0
441,R,8.0
441,Byz,14.0
442,EBA,1.0
442,MBA,2.0
442,LBA,3.0
443,EBA,1.0
443,MBA,2.0
443,LBA,3.0
443,HL,7.0
443,R,8.0
443,Byz,14.0
444,LBA,3.0
444,A,11.0
444,HL,7.0
445,Ch,9.0
445,EBA,1.0
445,MBA,2.0
445,LBA,3.0
445,IA,10.0
446,EBA,1.0
446,MBA,2.0
446,LBA,3.0
446,IA,10.0
446,C,6.0
447,EBA,1.0
447,MBA,2.0
447,LBA,3.0
448,EBA,1.0
448,MBA,2.0
448,LBA,3.0
448,C,6.0
448,Byz,14.0
449,EBA 3,18.0
449,MBA,2.0
450,EBA,1.0
450,MBA,2.0
451,EBA 2-3,
451,MBA,2.0
451,LBA,3.0
451,C,6.0
452,EBA 2-3,
452,MBA,2.0
452,LBA,3.0
452,IA,10.0
453,EBA 2-3,
453,LBA,3.0
453,C,6.0
454,EBA,1.0
454,MBA,2.0
454,LBA,3.0
455,EBA 2-3,
455,LBA,3.0
456,EBA,1.0
456,MBA,2.0
456,LBA,3.0
457,,
458,EBA,1.0
458,MBA,2.0
459,MBA,2.0
459,LBA,3.0
459,IA,10.0
459,C,6.0
459,HL,7.0
459,R,8.0
459,Byz,14.0
460,LCh,16.0
460,EBA,1.0
460,MBA,2.0
460,LBA,3.0
461,LBA,3.0
461,IA,10.0
461,C,6.0
461,HL,7.0
461,R,8.0
462,MBA,2.0
462,LBA,3.0
462,IA,10.0
462,C,6.0
463,MBA,2.0
463,LBA,3.0
464,EBA,1.0
464,MBA,2.0
464,LBA,3.0
464,IA,10.0
464,C,6.0
464,HL,7.0
464,R,8.0
464,Byz,14.0
465,EBA,1.0
465,MBA,2.0
466,EBA,1.0
466,MBA,2.0
466,C,6.0
466,HL,7.0
466,R,8.0
467,MBA,2.0
467,LBA,3.0
467,IA,10.0
467,C,6.0
467,HL,7.0
467,R,8.0
468,EBA,1.0
468,MBA,2.0
468,LBA,3.0
468,IA,10.0
468,C,6.0
468,HL,7.0
468,R,8.0
468,Byz,14.0
469,EBA,1.0
469,MBA,2.0
469,LBA,3.0
469,IA,10.0
469,Byz,14.0
470,N,26.0
470,MBA,2.0
470,LBA,3.0
470,IA,10.0
470,H,
470,R,8.0
470,Byz,14.0
471,EBA,1.0
471,MBA,2.0
471,LBA,3.0
471,IA,10.0
471,H,
471,R,8.0
471,Byz,14.0
471,I,
472,EBA,1.0
472,MBA,2.0
472,LBA,3.0
473,LN,17.0
473,EBA,1.0
473,MBA,2.0
473,LBA,3.0
473,IA,10.0
473,C,6.0
473,R,8.0
473,Byz,14.0
474,EBA(?),
474,MBA(?),
474,LBA,3.0
474,PG,4.0
474,G,5.0
474,A,11.0
474,C,6.0
474,H,
474,R,8.0
474,LByz,27.0
475,EBA.(?),
475,MBA.,
475,LBA.,
475,EG.-LG.,
475,A.,
475,C.,
475,HL.,
475,R.,
475,Byz,14.0
475,IP,15.0
476,EBA,1.0
476,MBA,2.0
476,LBA,3.0
476,PG,4.0
476,G,5.0
476,A,11.0
476,C,6.0
476,HL,7.0
476,R,8.0
476,Byz,14.0
476,IP,15.0
477,LN,17.0
477,EBA,1.0
477,MBA,2.0
477,LBA,3.0
477,A,11.0
477,C,6.0
477,H,
477,Byz,14.0
478,LCh,16.0
478,EBA,1.0
478,MBA,2.0
478,LBA,3.0
478,A,11.0
478,C,6.0
478,H,
478,R,8.0
478,Byz,14.0
479,MBA,2.0
479,LBA,3.0
479,G,5.0
479,C,6.0
479,HL,7.0
479,Byz,14.0
480,LBA,3.0
480,C,6.0
480,H,
481,LBA,3.0
482,EBA,1.0
482,MBA,2.0
482,LBA,3.0
482,IA,10.0
483,EBA,1.0
483,LBA,3.0
